WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
D601,D17-H-201-K3,6026322,2017-01-20,2099-12-31,B,1.0,338.5,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-201-K3,6031532,2017-01-20,2099-12-31,B,1.0,281.5,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-201-K3,6033353,2017-01-20,2099-12-31,B,2.0,262.0,2021-12-31,1806,5.0,0.4,PKT
D601,D17-H-201-K3,6045816,2017-01-20,2099-12-31,B,60.0,145.0,2021-12-31,1806,5.0,12.0,PKT
D601,D17-H-201-K3,6045817,2017-01-20,2099-12-31,B,11.0,283.5,2021-12-31,1806,5.0,2.2,PKT
D601,D17-H-201-K3,6047723,2017-01-20,2099-12-31,B,2.0,290.6666666666667,2021-12-31,1806,5.0,0.4,PKT
D601,D17-H-201-K3,6052733,2017-01-20,2099-12-31,B,1.0,404.0,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-201-K3,6052850,2017-01-20,2099-12-31,B,1.0,404.0,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-201-K3,6057142,2017-01-20,2099-12-31,B,1.0,502.0,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-201-K3,6178489,2017-01-20,2099-12-31,B,1.0,420.5,2021-12-31,1806,5.0,0.2,PKT
D601,D17-H-401-KM-1-K4,6007031,2017-05-05,2099-12-31,B,3.0,309.0,2021-12-31,1701,5.0,0.6,PKT
D601,D17-H-401-KM-1-K4,6007258,2017-05-05,2099-12-31,B,4.0,388.0,2021-12-31,1701,5.0,0.8,PKT
D601,D17-MV-4101-A-K4,6028934,2017-05-05,2099-12-31,B,1.0,765.0,2021-12-31,1701,5.0,0.2,PKT
D601,D17-MV-4301-B-K4,6162427,2017-05-05,2099-12-31,B,1.0,603.0,2021-12-31,1701,5.0,0.2,PKT
D601,D17-P-101A-K4,6011770,2017-08-03,2099-12-31,B,1.0,262.0,2021-12-31,1611,4.0,0.25,PKT
D601,D17-P-101A-K4,6033049,2017-08-03,2099-12-31,C,10.0,188.0,2021-12-31,1611,4.0,2.5,PKT
D601,DM-1103A-NF,6033049,2020-04-28,2099-12-31,C,30.0,188.0,2021-12-31,612,2.0,15.0,PKT
D601,DM-2101-NF,6033049,2020-04-28,2099-12-31,C,15.0,188.0,2021-12-31,612,2.0,7.5,PKT
D601,D17-P-101A-K4,6038925,2017-08-03,2099-12-31,B,1.0,267.0,2021-12-31,1611,4.0,0.25,PKT
D601,D17-P-101A-K4,6061774,2017-08-03,2099-12-31,B,1.0,656.0,2021-12-31,1611,4.0,0.25,PKT
D601,D17-RV-2008-U1-K2,6039865,2016-01-01,2099-12-31,B,1.0,442.5,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D18-D-301A-P6,6059943,2021-09-18,2099-12-31,B,1.0,899.0,2021-12-31,104,1.0,1.0,PKT
D601,DP2-P-703B-K1A,6059943,2019-01-31,2099-12-31,B,4.0,899.0,2021-12-31,1065,3.0,1.3333333333333333,PKT
D601,D18-GB-1902-K1,6056563,2016-01-31,2099-12-31,B,1.0,360.25,2021-12-31,2161,6.0,0.16666666666666666,PKT
D601,D18-GB-1902-K1,6168620,2016-01-31,2099-12-31,B,3.0,176.0,2021-12-31,2161,6.0,0.5,PKT
D601,D18-GB-1902-K1,6168622,2016-01-31,2099-12-31,B,6.0,202.0,2021-12-31,2161,6.0,1.0,PKT
D601,D18-GB-1902-K1,6168624,2016-01-31,2099-12-31,B,6.0,176.0,2021-12-31,2161,6.0,1.0,PKT
D601,D18-GB-1902-K1,6168625,2016-01-31,2099-12-31,B,3.0,173.33333333333334,2021-12-31,2161,6.0,0.5,PKT
D601,D18-GB-1902-K1,6168627,2016-01-31,2099-12-31,B,6.0,176.0,2021-12-31,2161,6.0,1.0,PKT
D601,D18-GB-1902-K1,6168628,2016-01-31,2099-12-31,B,6.0,176.0,2021-12-31,2161,6.0,1.0,PKT
D601,D18-GB-1902-K1,6168629,2016-01-31,2099-12-31,B,4.0,176.0,2021-12-31,2161,6.0,0.6666666666666666,PKT
D601,D18-GB-1902-K1,6178054,2016-01-31,2099-12-31,B,20.0,151.5,2021-12-31,2161,6.0,3.3333333333333335,PKT
D601,D18-K-301-P6,6015261,2016-02-03,2099-12-31,B,3.0,131.33333333333334,2021-12-31,2158,6.0,0.5,PKT
D601,DP60-PM-107A-K1A,6015261,2016-01-01,2099-12-31,B,1.0,131.33333333333334,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6016557,2016-02-03,2099-12-31,B,1.0,463.5,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6026166,2016-02-03,2099-12-31,C,1.0,153.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6026168,2016-02-03,2099-12-31,C,1.0,159.0,2021-12-31,2158,6.0,0.16666666666666666,PKT
D601,D18-K-301-P6,6028327,2016-02-03,2099-12-31,B,2.0,653.0,2021-12-31,2158,6.0,0.3333333333333333,PKT
